Employee_ID,First_Name,Last_Name,Age,Status,Join_Date,Salary,Email,Phone,Performance_Score,Remote_Work,Department,Region
EMP1000,Bob,Davis,25.0,Active,2021-04-02,59767.65,bob.davis@example.com,1651623197,Average,True,DevOps,California
EMP1001,Bob,Brown,30.0,Active,2020-07-10,65304.66,bob.brown@example.com,1898471390,Excellent,True,Finance,Texas
EMP1002,Alice,Jones,30.0,Pending,2023-12-07,88145.9,alice.jones@example.com,5596363211,Good,True,Admin,Nevada
EMP1003,Eva,Davis,25.0,Inactive,2021-11-27,69450.99,eva.davis@example.com,3476490784,Good,True,Admin,Nevada
EMP1004,Frank,Williams,25.0,Active,2022-01-05,109324.61,frank.williams@example.com,1586734256,Poor,False,Cloud Tech,Florida
EMP1005,Alice,Garcia,40.0,Inactive,2020-06-10,88642.84,alice.garcia@example.com,5409003485,Good,False,Sales,Texas
EMP1006,Frank,Jones,30.0,Active,2020-04-03,96288.43,frank.jones@example.com,4518376063,Good,False,Admin,Nevada
EMP1007,Bob,Jones,30.0,Inactive,2022-07-17,94497.91,bob.jones@example.com,4134327559,Average,True,Cloud Tech,Florida
EMP1008,Frank,Davis,35.0,Inactive,2023-12-08,115565.82,frank.davis@example.com,4177656123,Excellent,True,Admin,Nevada
EMP1009,Charlie,Johnson,30.0,Active,2022-08-04,76561.88,charlie.johnson@example.com,8156985699,Excellent,True,DevOps,New York
EMP1010,David,Williams,35.0,Active,2024-07-06,72081.71,david.williams@example.com,2720634590,Average,False,Cloud Tech,New York
EMP1011,David,Davis,30.0,Active,2023-09-04,84946.19,david.davis@example.com,1238296576,Poor,True,DevOps,California
EMP1012,Heidi,Williams,30.0,Active,2024-03-05,89295.77,heidi.williams@example.com,2429543164,Excellent,False,HR,New York
EMP1013,Grace,Williams,30.0,Active,2020-10-10,85666.84,grace.williams@example.com,2669300892,Good,False,Finance,California
EMP1015,Grace,Jones,40.0,Pending,2021-05-29,117975.49,grace.jones@example.com,4215291085,Good,True,Sales,Florida
EMP1016,Alice,Brown,25.0,Inactive,2024-04-23,94867.33,alice.brown@example.com,7713334475,Poor,False,DevOps,Illinois
EMP1017,Grace,Garcia,30.0,Pending,2024-11-28,100377.65,grace.garcia@example.com,2639343625,Average,True,Finance,Texas
EMP1018,Charlie,Garcia,30.0,Inactive,2024-09-19,94726.46,charlie.garcia@example.com,2044397358,Excellent,False,Cloud Tech,Nevada
EMP1019,Charlie,Williams,35.0,Pending,2020-01-02,91926.12,charlie.williams@example.com,7107256365,Average,True,Admin,Illinois
EMP1020,Bob,Miller,35.0,Active,2021-05-08,111460.67,bob.miller@example.com,9411800536,Excellent,True,HR,New York
EMP1023,David,Garcia,35.0,Pending,2022-02-03,80667.01,david.garcia@example.com,7572158623,Excellent,False,Finance,Nevada
EMP1025,David,Miller,25.0,Pending,2020-04-30,66025.92,david.miller@example.com,9485625727,Average,False,Cloud Tech,Nevada
EMP1026,Frank,Miller,25.0,Inactive,2023-10-02,83979.01,frank.miller@example.com,7032032073,Average,False,Sales,New York
EMP1027,Heidi,Johnson,30.0,Active,2020-07-12,56785.16,heidi.johnson@example.com,2761707586,Excellent,True,Finance,Florida
EMP1030,Charlie,Jones,40.0,Inactive,2021-05-26,111214.02,charlie.jones@example.com,2613715040,Good,True,Admin,California
EMP1031,Bob,Smith,25.0,Active,2020-07-10,114845.69,bob.smith@example.com,6591520176,Excellent,True,DevOps,Illinois
EMP1032,Charlie,Brown,40.0,Active,2024-11-05,78072.82,charlie.brown@example.com,7490509758,Average,False,Finance,Florida
EMP1033,Grace,Johnson,25.0,Inactive,2021-08-07,79610.52,grace.johnson@example.com,2304501895,Average,False,Finance,California
EMP1034,Heidi,Miller,30.0,Active,2020-04-29,90542.62,heidi.miller@example.com,1642361031,Excellent,True,Admin,California
EMP1037,Grace,Smith,25.0,Pending,2023-05-02,52781.92,grace.smith@example.com,4996165925,Average,True,Sales,New York
EMP1038,Frank,Smith,35.0,Pending,2021-10-05,66708.02,frank.smith@example.com,6108573277,Good,True,Admin,Nevada
EMP1039,Eva,Williams,40.0,Active,2022-07-27,93481.15,eva.williams@example.com,8147617421,Poor,False,HR,Texas
EMP1040,Bob,Williams,25.0,Pending,2021-06-27,59271.96,bob.williams@example.com,4386490809,Excellent,True,Sales,New York
EMP1042,Alice,Johnson,30.0,Active,2024-12-03,59400.38,alice.johnson@example.com,4918017225,Average,True,HR,Nevada
